api_name,version,scope,description
drivelabels,v2,https://www.googleapis.com/auth/drive.labels.readonly,See your Google Drive labels
essentialcontacts,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
eventarc,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
factchecktools,v1alpha1,https://www.googleapis.com/auth/factchecktools,"Read, create, update, and delete your ClaimReview data."
fcm,v1,https://www.googleapis.com/auth/firebase.messaging,Send messages and manage messaging subscriptions for your Firebase applications
fcm,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
fcmdata,v1beta1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
file,v1beta1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
file,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebase,v1beta1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebase,v1beta1,https://www.googleapis.com/auth/cloud-platform.read-only,View your data across Google Cloud services and see the email address of your Google Account
firebase,v1beta1,https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
firebase,v1beta1,https://www.googleapis.com/auth/firebase.readonly,View all your Firebase data and settings
firebaseappcheck,v1beta,https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
firebaseappcheck,v1beta,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebaseappcheck,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebaseappcheck,v1,https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
firebaseappdistribution,v1alpha,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebaseappdistribution,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebaseapphosting,v1beta,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebaseapphosting,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebasedatabase,v1beta,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebasedatabase,v1beta,https://www.googleapis.com/auth/cloud-platform.read-only,View your data across Google Cloud services and see the email address of your Google Account
firebasedatabase,v1beta,https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
firebasedatabase,v1beta,https://www.googleapis.com/auth/firebase.readonly,View all your Firebase data and settings
firebasedataconnect,v1beta,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebasedataconnect,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebasedynamiclinks,v1,https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
firebasehosting,v1beta1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebasehosting,v1beta1,https://www.googleapis.com/auth/cloud-platform.read-only,View your data across Google Cloud services and see the email address of your Google Account
firebasehosting,v1beta1,https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
firebasehosting,v1beta1,https://www.googleapis.com/auth/firebase.readonly,View all your Firebase data and settings
firebasehosting,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebasehosting,v1,https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
firebaseml,v1beta2,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebaseml,v2beta,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebaseml,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebaserules,v1,https://www.googleapis.com/auth/firebase.readonly,View all your Firebase data and settings
firebaserules,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firebaserules,v1,https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
firebasestorage,v1beta,https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
firebasestorage,v1beta,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firestore,v1beta1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firestore,v1beta1,https://www.googleapis.com/auth/datastore,View and manage your Google Cloud Datastore data
firestore,v1beta2,https://www.googleapis.com/auth/datastore,View and manage your Google Cloud Datastore data
firestore,v1beta2,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firestore,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
firestore,v1,https://www.googleapis.com/auth/datastore,View and manage your Google Cloud Datastore data
fitness,v1,https://www.googleapis.com/auth/fitness.activity.read,Use Google Fit to see and store your physical activity data
fitness,v1,https://www.googleapis.com/auth/fitness.activity.write,Add to your Google Fit physical activity data
fitness,v1,https://www.googleapis.com/auth/fitness.blood_glucose.read,See info about your blood glucose in Google Fit. I consent to Google sharing my blood glucose information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.blood_glucose.write,Add info about your blood glucose to Google Fit. I consent to Google using my blood glucose information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.blood_pressure.read,See info about your blood pressure in Google Fit. I consent to Google sharing my blood pressure information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.blood_pressure.write,Add info about your blood pressure in Google Fit. I consent to Google using my blood pressure information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.body.read,See info about your body measurements in Google Fit
fitness,v1,https://www.googleapis.com/auth/fitness.body.write,Add info about your body measurements to Google Fit
fitness,v1,https://www.googleapis.com/auth/fitness.body_temperature.read,See info about your body temperature in Google Fit. I consent to Google sharing my body temperature information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.body_temperature.write,Add to info about your body temperature in Google Fit. I consent to Google using my body temperature information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.heart_rate.read,See your heart rate data in Google Fit. I consent to Google sharing my heart rate information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.heart_rate.write,Add to your heart rate data in Google Fit. I consent to Google using my heart rate information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.location.read,See your Google Fit speed and distance data
fitness,v1,https://www.googleapis.com/auth/fitness.location.write,Add to your Google Fit location data
fitness,v1,https://www.googleapis.com/auth/fitness.nutrition.read,See info about your nutrition in Google Fit
fitness,v1,https://www.googleapis.com/auth/fitness.nutrition.write,Add to info about your nutrition in Google Fit
fitness,v1,https://www.googleapis.com/auth/fitness.oxygen_saturation.read,See info about your oxygen saturation in Google Fit. I consent to Google sharing my oxygen saturation information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.oxygen_saturation.write,Add info about your oxygen saturation in Google Fit. I consent to Google using my oxygen saturation information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.reproductive_health.read,See info about your reproductive health in Google Fit. I consent to Google sharing my reproductive health information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.reproductive_health.write,Add info about your reproductive health in Google Fit. I consent to Google using my reproductive health information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.sleep.read,See your sleep data in Google Fit. I consent to Google sharing my sleep information with this app.
fitness,v1,https://www.googleapis.com/auth/fitness.sleep.write,Add to your sleep data in Google Fit. I consent to Google using my sleep information with this app.
forms,v1,https://www.googleapis.com/auth/drive.readonly,See and download all your Google Drive files
forms,v1,https://www.googleapis.com/auth/drive,"See, edit, create, and delete all of your Google Drive files"
